#    Location Patron Type        Item Type           Age Range Rule Number Active
211 mdsf     2,7                19                            92          Y
212 mdsf     13                 19                            11          Y
213 mdtr     12                 0,2                           9           Y
214 mdtr     13                 0,2                           11          Y
215 mdrs     2,7                9                             6           Y
216 alumd    5,13               0                             11          N
217 imp      0-1,3-4,8-12,14    31                            9           Y
218 imp      2,7                31                            10          Y
219 imp      5,13               31                            11          Y
220 aafo     5,13               999                           11          Y
221 kngfo    5,13               999                           11          Y
222 mufo     5,13               999                           11          Y
223 ?????    0-1,3-5,12-14,19   21                            15          Y
224 ?????    2,7                21                            16          Y
225 mur      0,1,3,14           21                            5           Y
226 mur      2,7                21                            6           Y
227 muli     0,1,3,14           21                            5           N
228 muli     2,7                21                            6           N
229 ?????    5,13               20                            11          Y
230 mudc     0-1,3-5,10-14      0,7-10,12,21                  3           Y
231 mudc     2,7                0,7-10,12,21                  6           Y
232 mudc     10-11              0,7-10,12,21                  3           N
233 docun    0,3-4,12           019                           9           Y
234 docun    1,14               019                           13          Y
235 docun    2,7                019                           14          Y
236 docun    2,7                019                           92          N
237 docun    5,13               019                           11          Y
238 docli    1,14               26                            9           Y
239 docli    2,7                26                            10          Y
240 docrm    1,14               26                            9           Y
241 docrm    2,7                26                            10          Y
242 imtst    0,1,14             23                            31          Y
243 imtst    2,7                23                            32          Y
244 imtst    3-6,8-13           23                            15          Y
245 imeq     0-1,3,12-14        2                             9           Y
246 imeq     2,7                2                             10          Y
247 imeq     4-5,13             2                             11          Y
248 imeq     0-1,3,12-14        8                             3           Y
249 imeq     2,7                8                             4           Y
250 imeq     4-5,13             8                             3           Y
251 imprc    0-1,3-5,12-14      0                             15          Y
252 imprc    2,7                0                             16          Y
253 imfcc    2,7                0                             16          Y
254 imfcc    0-1,3-5,12-14      0                             15          Y
255 imfmc    2,7                0                             16          Y
256 imfmc    0-1,3-5,12-14      0                             15          Y
257 imfca    0-1,3-5,12-14      0,                            15          Y
258 imhs     2,7                2                             4           N
259 imhs     4-5,13             2                             3           Y
260 imhs     0-1,3,12-14        2                             3           Y
261 docfm    2,7                0                             16          Y
262 docfm    0-1,3-5,12-14      0                             15          Y
263 scfca    0-1,3-4,12-14      0                             15          N
264 scfca    2,7                0                             16          N
265 rgsp*    0,1,3-6,8-14,19    31                            25          Y

                                     Page 5
266 rgsp*    2,7                31                            26          Y
267 rg2p*    2,7                31                            26          Y
268 rg2p*    0,1,3-6,8-14,19    31                            25          Y
269 rgst*    5,13               0-4,11-12,14-20,22            11          Y
270 rg2t*    5,13               0-4,11-12,14-20,22            11          Y
271 rg2t*    4,8                0-4,11-12,14-20,22            9           Y
272 kngp     0,4-6,8-13         9,31                          15          Y
273 kngp     1,3,14             9,31                          5           Y
274 kngp     2,7                9,31                          6           Y
275 haill    2,7                999                           30          Y
276 haill    0,1,3,4,7,12,14,19 999                           29          Y
277 miill    2,7                999                           30          Y
278 miill    0,1,3,4,7,12,14,19 999                           29          Y
279 ?????    46                 999                           19          Y
280 kngrf    2,3,7              29                            37          Y
281 kngsc    2,7                29                            38          Y
282 knghs    2,7                29                            38          Y
283 scp*     0,4-6,8-13         9,31                          25          Y
284 scp*     1,3,14             9,31                          25          Y
285 scp*     2,7                9,31                          26          Y
286 kngle    0,1,3,4-5,8,12-14  0,26                          9           Y
287 kngle    2,7                0,26                          10          Y
288 ?????    0-3,7,14           30                            41          N
289 kngfo    2                  26                            14          Y
290 kngfo    2                  26                            92          Y
291 hanb     2,7                999                           18          Y
292 hanb     0,1,3,4,12,14,19   999                           44          Y
293 hanb     2,7                51                            18          Y
294 hanb     0,1,3,4,12,14,19   51                            44          Y
295 hanb     2,7                52                            18          Y
296 hanb     0,1,3,4,12,14,19   52                            44          Y
297 hanb     2,7                50                            18          Y
298 hanb     0,1,3,4,12,14,19   50                            44          Y
299 ?????    3                  33                            42          N
300 aars     0,1,3-5,8-13,14    9                             5           N
301 aars     2,7                9                             6           N
302 aap      2,7                9,31                          6           Y
303 kngdc    0,1-3,14           36                            53          Y
304 kngeq    0,1-3,14           46                            65          Y
305 kn*      4,19               999                           15          Y
306 aa*      4,19               999                           15          Y
307 sc*      4,19               999                           15          Y
308 doc*     4,19               999                           15          Y
309 im*      4,19               999                           15          Y
310 mu*      4,19               999                           15          Y
311 kngr5    2,7                9                             6           N
312 kngr5    0,1,3-5,8-13,14,19 9                             5           N
313 ?????    0,1,2,3,14         38                            56          N
314 ?????    2,7                37                            57          N
315 ?????    999                45,91                         62          N
316 kngeq    0-14               45                            95          Y
317 ?????    1,3,14             37                            55          N
318 ?????    2,7                39-40                         14          Y
319 ?????    1,14               39-40                         13          Y
320 ?????    0,3-6,9-13,16,17,1 39-40                         9           Y
             9                                                            
321 ?????    0-4,19             41                            58          Y
322 ?????    0-4,19             42                            59          Y

                                     Page 6
323 mueq     0,1,3-5,8-14,19    8,64,69,81                    3           Y
324 ?????    0-14,19            43                            60          N
325 ?????    0,1,2,7,14         44,48                         61          Y
326 ?????    0,1,2,7,14         47                            66          N
327 ?????    0,1,2,7,14         49                            67          Y
328 halst    2,7                21                            6           Y
329 ?????    2,7                39-40                         92          Y
330 ?????    0,1-3,14           36                            53          N
331 ?????    0,1-3,14           46                            65          N
332 ?????    0-4,6-7,12-14,17,1 200-206,209                   63          Y
             9,210                                                        
333 ?????    0-4,6-7,12-14,17,1 208                           64          Y
             9,210                                                        
334 aap      0,1,3-5,8-13,14    9,31                          5           N
335 imcur    0-1,3-4,12-14      2                             9           Y
336 imcur    2,7                2                             10          Y
337 imlng    0,1,3,4,12,14      2,22                          9           Y
338 imlng    2,7                2,22                          10          Y
339 imrdr    0,1,3,4,12,14      2,22                          9           Y
340 imvr     2,7                8                             48          Y
341 imrdr    2,7                2,22                          10          Y
342 wocli    0,3,12             27                            69          Y
343 wocli    1,14               27                            70          Y
344 kngrg    1                  9                             5           Y
345 kngrg    0,2-99             9                             15          Y
346 aali     2,7                26                            6           Y
347 aali     0,1,3-5,8-13,14    26                            5           Y
348 kngco    0,1,12-14          34,80                         72          Y
349 kngco    2,7                34,80                         73          Y
350 kngeq    0-14               43                            75          Y
351 kngeq    0,1,3-6,8-14       91                            95          Y
352 kngeq    2,7                95                            73          Y
353 kngeq    2,7                36                            101         Y
354 kngeq    0,1,3,4,5,6,8-14   36                            76          Y
355 kngeq    0-3,14             46                            77          Y
356 ?????    0,1,3,4,5,8-14,19  53                            78          N
357 wocli    2,7                27                            71          Y
358 kngeq    0,1,3,14           67,72,73                      94          N
359 ?????    18                 0-100                         40          Y
360 knggs    0-1,3-5,8-14       8                             79          N
361 kngrs    0-1,3-5,8-14       8,24,25                       80          Y
362 kngrs    999                45                            82          Y
363 kngeq    2,7                67,72,73                      6           N
364 kngdc    0-3,14             36                            81          Y
365 docfs    0,1,2,3,6,13,14    26                            83          Y
366 docfs    2,7                26                            84          Y
367 docvs    0,1,2,3,6,13,14    26                            83          N
368 docvs    2,7                26                            84          N
369 doccs    0,1,2,3,6,13,14    21                            15          N
370 doccs    2,7                21                            16          N
371 kngnp    0,1,3,14           8                             85          N
372 kngpc    0-14               8                             87          Y
373 xwocl    0,3,12             27                            69          N
374 kngco    0,1,14             61                            102         Y
375 xwocl    1,14               27                            70          Y
376 xwocl    2,7                27                            71          Y
377 kngst    999                8                             88          Y
378 ?????    46                 999                           19          Y

                                     Page 7
379 kngrs    999                55                            72          Y
380 imrms    0-100              37                            91          N
381 imvst    0-100              37                            91          N
382 imgrd    0-100              37                            91          N
383 imcor    0-100              37                            91          N
384 imcpo    0-100              37                            91          N
385 imbkt    2,7                0,2,20,22                     46          Y
386 halju    0,1,3,4,8-14,19    22                            9           Y
387 kngli    17                 0                             92          Y
388 ?????    6                  999                           12          Y
389 halju    2,7                22                            10          Y
390 odswd    0,1,3-6,8-14,19    21,31                         25          Y
391 mueq     2,7                8,64,69,81                    4           Y
392 mueq     0-14               45                            49          Y
393 odswd    2,7                21,31                         26          Y
394 ?????    0-1,3-5,8-14,19    56                            80          Y
395 kngc     0,1,3,14           57                            94          Y
396 kngc     2,7                57                            6           Y
397 kngeq    2,7                67                            6           N
398 kngeq    0,1,3,14           67                            94          N
399 ?????    0,1,3-6,8-14,19    58,64,68,69,70,71             95          Y
400 ?????    2,7                58,64,68,69,70,71             96          Y
401 kngc     0-14               60                            97          Y
402 ?????    2,7                45,91                         98          N
403 ?????    2,7                53                            99          N
404 hars     0-14,19            32                            88          Y
405 kngdc    2,7                36                            100         Y
406 kngc     0,1,14             61                            102         Y
407 kngeq    0-14               61                            102         Y
408 hars     0,1,3,14           8,34                          103         Y
409 hars     2,7                9                             6           Y
410 hars     2,7                8,34                          104         Y
411 hamc     0,1,3,4,8,14,19    26                            9           Y
412 hamc     2,7                26                            10          Y
413 kngrs    17                 8,24,25                       88          Y
414 xwocl    0,3,12             27                            69          Y
415 ?????    0-200              54                            89          N
416 kngnm    0-14               45                            106         N
417 kngnm    0-14               8                             105         N
418 rgsti    0,1,3,4,5,6,8-10,1 62                            47          Y
             4                                                            
419 rgsti    2,7                62                            48          Y
420 rg2ti    0,1,3,4,5,6,8-14   62                            47          Y
421 rg2ti    2,7                62                            48          Y
422 kngnm    0-14               47                            88          N
423 kngrm    0-14               8                             107         Y
424 kngrs    0-2,14             25                            86          N
425 test     20                 65                            108         N
426 aap      0,1,3-5,8-13,14    9,31                          5           Y
427 ?????    0-4,14             63,87,88,90                   103         Y
428 ?????    230,231,232,235    001-011,013-018,020           21          Y
                                ,21,26,39,40                              
429 ?????    230,231,232,235    000,012,019,020,26,           22          Y
                                39,40                                     
430 ?????    0-4,6-7,12-14,17,1 230,233                       111         Y
             9,210                                                        
431 ?????    0-4,6-7,12-14,17,1 231                           112         Y
             9,210                                                        

                                     Page 8
432 ?????    200-206,210-217,22 000,012,019,020,26,           115         Y
             0-235              39,40,50,51,52                            
433 ?????    02,7               200-206,209                   115         Y
434 ?????    0-14               54                            9           Y
435 aars     0,1,3-5,8-14,19    8,64,81                       3           Y
436 sceq     0-14               106                           49          Y
437 aaeq     0-14               999                           106         Y
438 aac      5,13               0                             11          N
439 hags     0,1,3,14           8,9                           3           Y
440 mdrc     13                 0,1,2,3                       11          Y
441 aaeq     0,1,3-5,8-14,19    999                           106         Y
442 aaeq     0-14               36,46,63,73,79                117         Y
443 aags     0,1,3-5,8-14,19    8                             3           N
444 imvcs    5,13               0                             11          Y
445 mdrc     2,7                0,1,2,3                       10          Y
446 scrs     0,1,3-5,8-14,19    8,56,64,81                    3           Y
447 scgs     0,1,3-5,8-14,19    8,64,81                       3           Y
448 scsup    0,1,3-5,8-14,19    8,64,81                       3           Y
449 kngsu    0,1,3-5,8-14,19    8,64,81                       1           Y
450 sceq     0-14               67,73                         5           Y
451 kngrs    0,1,3-5,8-14,19    8,64,81                       3           Y
452 kngcg    0-14               8                             3           Y
453 knggs    0,1,3-5,8-14,19    8,64                          3           Y
454 mdrs     0,1,3-5,8-14,19    8,64,81                       3           Y
455 murs     0,1,3-5,8-14,19    8                             3           Y
456 hars     0,1,3-5,8-14,19    8,64,81                       3           Y
457 haeq     0,1,3-5,8-14,19    8,64,81                       121         Y
458 hags     0,1,3-5,8-14,19    8,64,81                       3           Y
459 aars     2,7                8,64,81                       4           Y
460 aac      2,7                8,64,81                       4           N
461 aags     2,7                8                             4           Y
462 scrs     2,7                8,56,64,81                    4           Y
463 scgs     2,7                8,64,81                       4           Y
464 scsup    2,7                8,64,81                       4           Y
465 scdor    0-14               999                           9           Y
