,Code,Branch Name,Public
21,4 mdrs,Middletown Reserve,FALSE
21,5 mdsf,Middletown Sudoc Micro,FALSE
21,6 mdsr,Middletown Sudoc Ref,FALSE
21,7 mdtr,Middletown Textbooks On Reserve,FALSE
21,8 me1bg,Mercy College Ohio,FALSE
21,9 mic,MICRO,FALSE
22,0 miill,Middletown ILL,FALSE
22,1 mo3bg,Mt. St. Joseph University,FALSE
22,2 ms4sg,Methodist Theo. Sch. in Ohio,FALSE
22,3 msl,IMC Slides,FALSE
,,,
,,Page 4,
22,4 mt4bg,Mount Carmel Coll Nursing,FALSE
22,5 mu2bg,University of Mount Union,FALSE
22,6 mu3ug,Miami U,FALSE
22,7 mu4bg,Muskingum College,FALSE
22,8 muc,Music Circulation,FALSE
22,9 mucmp,Music Library (Latops & Tablets),FALSE
23,0 mudc,Music Desk Cabinet,FALSE
23,1 mueq,Music Equipment (Circulation Desk),FALSE
23,2 mufo,Music Folio,FALSE
23,3 mul,MUSIC,TRUE
23,4 muli,Music Library,FALSE
23,5 munb,Music Library - New Books,FALSE
23,6 mup,Music Periodical,FALSE
23,7 mur,Music Reference,FALSE
23,8 murc,MLC,TRUE
23,9 murcd,Music Listening Ctr.,FALSE
24,0 murcr,LIST. CNTR. RESERVE,FALSE
24,1 murcv,Music Listening Ctr.,FALSE
24,2 murs,MUSIC RESERVE,FALSE
24,3 mursp,Music - Spotlight Collection (1st floor),FALSE
24,4 mv4bg,Mount Vernon Nazarene Col,FALSE
24,5 nd2bg,Notre Dame Coll. Oh.,FALSE
24,6 ne2mh,NEOMED,FALSE
24,7 no1tg,Northwest State CC,FALSE
24,8 nw1bg,University of NW Ohio,FALSE
24,9 ob2bg,Oberlin College,FALSE
25,0 oc4bg,Ohio Christian University,FALSE
25,1 od4bg,Ohio Dominicon College,FALSE
25,2 odswd,Southwest Depository,FALSE
25,3 oh5dp,Ohio Depos. NE,FALSE
25,4 on1ug,Ohio Northern Univ.,FALSE
25,5 onl,ONLINE,TRUE
25,6 onl$,Internet Resource,FALSE
25,7 onl@,Internet Resource,FALSE
25,8 onlbk,Ebook,FALSE
25,9 onli,Internet Resource,FALSE
26,0 onlm,Internet Resource,FALSE
26,1 onlo,Internet Resource,FALSE
26,2 onlp,Internet Resource,FALSE
26,3 onlt,Internet Resource,FALSE
26,4 onlv,Streaming Video,FALSE
26,5 onlw,Internet Resource,FALSE
26,6 op4bg,OPAL Libraries,FALSE
26,7 os4ug,Ohio State Univ,FALSE
26,8 ot4bg,Otterbein University,FALSE
26,9 ou4ug,Ohio Univ,FALSE
27,0 ow1tg,Owens Community College,FALSE
27,1 ow4ug,Ohio Wesleyan University,FALSE
27,2 pc2pl,~Portage County PL,FALSE
27,3 pc4sg,Pontifical Coll. Josephinum,FALSE
27,4 re2pl,~Reed Memorial PL,FALSE
27,5 ref,REFERENCE,FALSE
27,6 rg2pa,SW Depository,FALSE
27,7 rg2pc,SW Depository,FALSE
27,8 rg2pd,SW Depository,FALSE
27,9 rg2ph,SW Depository,FALSE
28,0 rg2pk,SW Depository,FALSE
28,1 rg2pm,SW Depository,FALSE
,,,
,,Page 5,
28,2 rg2ps,SW Depository,FALSE
28,3 rg2ta,SW Depository,FALSE
28,4 rg2tc,SW Depository,FALSE
28,5 rg2td,SW Depository,FALSE
28,6 rg2tf,SW Depository M'film,FALSE
28,7 rg2tg,SW Depository,FALSE
28,8 rg2th,SW Depository,FALSE
28,9 rg2ti,SW Depository,FALSE
29,0 rg2tk,SW Depository,FALSE
29,1 rg2tl,SW Depository,FALSE
29,2 rg2tm,SW Depository,FALSE
29,3 rg2tr,Request At Circ Desk,FALSE
29,4 rg2ts,SW Depository,FALSE
29,5 rgspa,SW Depository,FALSE
29,6 rgspc,SW Depository,FALSE
29,7 rgspd,SW Depository,FALSE
29,8 rgsph,SW Depository,FALSE
29,9 rgspk,SW Depository,FALSE
30,0 rgspm,SW Depository,FALSE
30,1 rgsps,SW Depository,FALSE
30,2 rgsta,SW Depository,FALSE
30,3 rgstc,SW Depository,FALSE
30,4 rgstd,SW Depository,FALSE
30,5 rgstg,SW Depository,FALSE
30,6 rgsth,SW Depository,FALSE
30,7 rgsti,SW Depository,FALSE
30,8 rgstk,SW Depository,FALSE
30,9 rgstm,SW Depository,FALSE
31,0 rgstr,Request At Circ Desk,FALSE
31,1 rgsts,SW Depository,FALSE
31,2 ri4tg,Rio Grande CC,FALSE
31,3 scat,BEST Atlas,FALSE
31,4 scc,"BEST Library, Information Desk",FALSE
31,5 sccmp,"BEST Library, Reserves(Computers)",FALSE
31,6 sceq,BEST Library - Equipment,FALSE
